year,volume,issue,date,title,author,pages,doi,link,abstract
1946,1,1,8/1946,THE AMERICAN FINANCE ASSOCIATION,Harry G. Guthmann,,https://doi.org/10.1111/j.1540-6261.1946.tb01544.x,https://doi.org/10.1111/j.1540-6261.1946.tb01544.x,
1946,1,1,8/1946,THE JOURNAL OF FINANCE,Marshall D. Ketchum,,https://doi.org/10.1111/j.1540-6261.1946.tb01545.x,https://doi.org/10.1111/j.1540-6261.1946.tb01545.x,
1946,1,1,8/1946,ANNUAL MEETING OF THE AMERICAN FINANCE ASSOCIATION,,,https://doi.org/10.1111/j.1540-6261.1946.tb01546.x,https://doi.org/10.1111/j.1540-6261.1946.tb01546.x,
1946,1,1,8/1946,"THE GOVERNMENT, THE BANKS AND THE NATIONAL DEBT*",Simeon E. Leland,,https://doi.org/10.1111/j.1540-6261.1946.tb01547.x,https://doi.org/10.1111/j.1540-6261.1946.tb01547.x,
1946,1,1,8/1946,AN ANALYSIS OF THE CERTIFICATE RESERVE PLAN,"J. H. Riddle, Roy L. Reierson",,https://doi.org/10.1111/j.1540-6261.1946.tb01548.x,https://doi.org/10.1111/j.1540-6261.1946.tb01548.x,
1946,1,1,8/1946,POSTWAR TAX POLICY: PERSONAL VERSUS CORPORATE INCOME TAXES*,Harold M. Groves,,https://doi.org/10.1111/j.1540-6261.1946.tb01549.x,https://doi.org/10.1111/j.1540-6261.1946.tb01549.x,
1946,1,1,8/1946,THE TAXATION OF SMALL BUSINESS*,Alfred G. Buehler,,https://doi.org/10.1111/j.1540-6261.1946.tb01550.x,https://doi.org/10.1111/j.1540-6261.1946.tb01550.x,
1946,1,1,8/1946,DISCUSSION,Roy G. Blakey,,https://doi.org/10.1111/j.1540-6261.1946.tb01551.x,https://doi.org/10.1111/j.1540-6261.1946.tb01551.x,
1946,1,1,8/1946,TAX POLICIES FOR PROSPERITY*,Beardsley Ruml,,https://doi.org/10.1111/j.1540-6261.1946.tb01552.x,https://doi.org/10.1111/j.1540-6261.1946.tb01552.x,
1946,1,1,8/1946,INVESTMENT BANKERS ASSOCIATION TRAINING COURSES,Robert W. Clark,,https://doi.org/10.1111/j.1540-6261.1946.tb01553.x,https://doi.org/10.1111/j.1540-6261.1946.tb01553.x,
1947,2,1,4/1947,THE AMERICAN FINANCE ASSOCIATION,Lewis A. Froman,,https://doi.org/10.1111/j.1540-6261.1947.tb00784.x,https://doi.org/10.1111/j.1540-6261.1947.tb00784.x,
1947,2,1,4/1947,ANNUAL MEETING OF THE AMERICAN FINANCE ASSOCIATION,,,https://doi.org/10.1111/j.1540-6261.1947.tb00785.x,https://doi.org/10.1111/j.1540-6261.1947.tb00785.x,
1947,2,1,4/1947,THE FINANCIAL RESEARCH PROGRAM OF THE NATIONAL BUREAU OF ECONOMIC RESEARCH,Raymond J. Saulnier,,https://doi.org/10.1111/j.1540-6261.1947.tb00786.x,https://doi.org/10.1111/j.1540-6261.1947.tb00786.x,
1947,2,1,4/1947,INVESTMENT PROSPECTS,Homer Jones,,https://doi.org/10.1111/j.1540-6261.1947.tb00787.x,https://doi.org/10.1111/j.1540-6261.1947.tb00787.x,
1947,2,1,4/1947,NONFARM REAL ESTATE FINANCE,Donald S. Thompson,,https://doi.org/10.1111/j.1540-6261.1947.tb00788.x,https://doi.org/10.1111/j.1540-6261.1947.tb00788.x,
1947,2,1,4/1947,THE EFFECT OF CYCLICAL FLUCTUATIONS UPON REAL ESTATE FINANCE,Homer Hoyt,,https://doi.org/10.1111/j.1540-6261.1947.tb00789.x,https://doi.org/10.1111/j.1540-6261.1947.tb00789.x,
1947,2,1,4/1947,DISCUSSION,,,https://doi.org/10.1111/j.1540-6261.1947.tb00102.x,https://doi.org/10.1111/j.1540-6261.1947.tb00102.x,
1947,2,1,4/1947,CAN GOVERNMENT INFLUENCE BUSINESS STABILITY?,John D. Clark,,https://doi.org/10.1111/j.1540-6261.1947.tb00790.x,https://doi.org/10.1111/j.1540-6261.1947.tb00790.x,
1947,2,1,4/1947,THE CONTRIBUTION OF COMMERCIAL RECEIVABLE COMPANIES AND FACTORS TO FINANCING SMALL‐ AND MEDIUM‐SIZED BUSINESS,Shandor M. Zinner,,https://doi.org/10.1111/j.1540-6261.1947.tb00791.x,https://doi.org/10.1111/j.1540-6261.1947.tb00791.x,
1947,2,1,4/1947,SOME SMALL BUSINESS PROBLEMS INDICATED BY THE INDUSTRIAL LOAN EXPERIENCE OF THE FEDERAL RESERVE BANK OF NEW YORK,Robert V. Rosa,,https://doi.org/10.1111/j.1540-6261.1947.tb00792.x,https://doi.org/10.1111/j.1540-6261.1947.tb00792.x,
1947,2,2,10/1947,THE IMPROVED INVESTMENT POSITION OF SAVINGS AND LOAN ASSOCIATIONS,Norman Strunk,,https://doi.org/10.1111/j.1540-6261.1947.tb00793.x,https://doi.org/10.1111/j.1540-6261.1947.tb00793.x,
1947,2,2,10/1947,THE ADEQUACY OF BANK EQUITIES,Lewis A. Froman,,https://doi.org/10.1111/j.1540-6261.1947.tb00794.x,https://doi.org/10.1111/j.1540-6261.1947.tb00794.x,
1947,2,2,10/1947,THE USE OF SINKING FUNDS IN PREFERRED STOCK ISSUES,H. Lawrence Wilsey,,https://doi.org/10.1111/j.1540-6261.1947.tb00795.x,https://doi.org/10.1111/j.1540-6261.1947.tb00795.x,
1947,2,2,10/1947,THE AVAILABILITY OF CAPITAL TO SMALL BUSINESS IN CALIFORNIA IN 1945–1946,Paul F. Wendt,,https://doi.org/10.1111/j.1540-6261.1947.tb00796.x,https://doi.org/10.1111/j.1540-6261.1947.tb00796.x,
1947,2,2,10/1947,EXPANDED COOPERATION BETWEEN COMMERCIAL BANKS AND FINANCE COMPANIES IN FINANCING CONSUMER CREDITS,Miller Upton,,https://doi.org/10.1111/j.1540-6261.1947.tb00797.x,https://doi.org/10.1111/j.1540-6261.1947.tb00797.x,
1947,2,2,10/1947,DEMOCRATIZING MONEY,Valdemar Carlson,,https://doi.org/10.1111/j.1540-6261.1947.tb00798.x,https://doi.org/10.1111/j.1540-6261.1947.tb00798.x,
1948,3,1,2/1948,COST OF THE MARSHALL PLAN TO THE UNITED STATES*,Seymour E. Harris,,https://doi.org/10.1111/j.1540-6261.1948.tb01009.x,https://doi.org/10.1111/j.1540-6261.1948.tb01009.x,
1948,3,1,2/1948,WHAT CAN EUROPE DO FOR ITSELF?,Calvin B. Hoover,,https://doi.org/10.1111/j.1540-6261.1948.tb01010.x,https://doi.org/10.1111/j.1540-6261.1948.tb01010.x,
1948,3,1,2/1948,DISCUSSION,B.H. Beckhart,,https://doi.org/10.1111/j.1540-6261.1948.tb01011.x,https://doi.org/10.1111/j.1540-6261.1948.tb01011.x,
1948,3,1,2/1948,FINANCIAL MANAGEMENT OF GAS AND ELECTRIC UTILITIES BY THE SECURITIES AND EXCHANGE COMMISSION*,Merwin H. Waterman,,https://doi.org/10.1111/j.1540-6261.1948.tb01012.x,https://doi.org/10.1111/j.1540-6261.1948.tb01012.x,
1948,3,1,2/1948,DISCUSSION,James K. Hall,,https://doi.org/10.1111/j.1540-6261.1948.tb01013.x,https://doi.org/10.1111/j.1540-6261.1948.tb01013.x,
1948,3,2,6/1948,SCHACHT'S REGULATION OF MONEY AND THE CAPITAL MARKETS,Arthur Schweitzer,,https://doi.org/10.1111/j.1540-6261.1948.tb01509.x,https://doi.org/10.1111/j.1540-6261.1948.tb01509.x,
1948,3,2,6/1948,CORPORATE REORGANIZATION UNDER CHAPTER X—A POST‐MORTEM,Francis J. Calkins,,https://doi.org/10.1111/j.1540-6261.1948.tb01510.x,https://doi.org/10.1111/j.1540-6261.1948.tb01510.x,
1948,3,2,6/1948,SECONDARY RESERVE REQUIREMENTS,J. Brooke Willis,,https://doi.org/10.1111/j.1540-6261.1948.tb01511.x,https://doi.org/10.1111/j.1540-6261.1948.tb01511.x,
1948,3,2,6/1948,"TERM LOANS TO SMALL BUSINESS IN CALIFORNIA, 1945–46",Paul F. Wendt,,https://doi.org/10.1111/j.1540-6261.1948.tb01512.x,https://doi.org/10.1111/j.1540-6261.1948.tb01512.x,
1948,3,2,6/1948,AMERICAN SECURITY PRICE MOVEMENTS COMPARED TO FOREIGN SECURITY PRICE MOVEMENTS,Jacob O. Kamm,,https://doi.org/10.1111/j.1540-6261.1948.tb01513.x,https://doi.org/10.1111/j.1540-6261.1948.tb01513.x,
1948,3,3,10/1948,THE FLOW OF SAVINGS—I*,Homer Jones,,https://doi.org/10.1111/j.1540-6261.1948.tb01514.x,https://doi.org/10.1111/j.1540-6261.1948.tb01514.x,
1948,3,3,10/1948,THE DEMAND FOR FUNDS BY AMERICAN BUSINESS ENTERPRISES: RETROSPECT AND PROSPECT—I*,Neil H. Jacoby,,https://doi.org/10.1111/j.1540-6261.1948.tb01515.x,https://doi.org/10.1111/j.1540-6261.1948.tb01515.x,
1948,3,3,10/1948,"COMMON STOCKS AS INVESTMENTS FOR AMERICAN LIFE INSURANCE COMPANIES, A NON‐ACADEMIC VIEW—I*",S. H. Nerlove,,https://doi.org/10.1111/j.1540-6261.1948.tb01516.x,https://doi.org/10.1111/j.1540-6261.1948.tb01516.x,
1948,3,3,10/1948,RISK FACTORS IN PUBLIC UTILITY SECURITIES*,Orson Hart,,https://doi.org/10.1111/j.1540-6261.1948.tb01517.x,https://doi.org/10.1111/j.1540-6261.1948.tb01517.x,
1948,3,3,10/1948,BANK SUPERVISION AND THE BUSINESS CYCLE*,Vance L. Sailor,,https://doi.org/10.1111/j.1540-6261.1948.tb01518.x,https://doi.org/10.1111/j.1540-6261.1948.tb01518.x,
1948,3,3,10/1948,VOTING RIGHTS OF PREFERRED STOCKHOLDERS IN INDUSTRIALS1,Joseph F. Bradley,,https://doi.org/10.1111/j.1540-6261.1948.tb01519.x,https://doi.org/10.1111/j.1540-6261.1948.tb01519.x,
1949,4,1,3/1949,THE MANAGEMENT OF THE PUBLIC DEBT*,Winthrop W. Aldrich,,https://doi.org/10.1111/j.1540-6261.1949.tb02333.x,https://doi.org/10.1111/j.1540-6261.1949.tb02333.x,
1949,4,1,3/1949,EXCHANGE RATES: BOUND OR FREE?*,Frank D. Graham,,https://doi.org/10.1111/j.1540-6261.1949.tb02334.x,https://doi.org/10.1111/j.1540-6261.1949.tb02334.x,
